V1,StartDate,EndDate,_v1,RecordedDate,ResponseId,qmetadata_Browser,qmetadata_Version,_v2,qmetadata_Resolution,follow,reg1,votemail1a,votemail1b,votecount,votemail2,voterid1,voterid2,turnout16a,turnout16a1,turnout16b,vote16,hopeful,afraid,outraged,angry,happy,worried,proud,irritated,nervous,meeting,moneyorg,protest,online,persuade,button,moneycand,argument,particip_none,talk1,talk2,talk3,fttrump1,ftobama1,ftbiden1,ftwarren1,ftsanders1,ftbuttigieg1,ftharris1,ftklobuchar1,ftpence1,ftyang1,ftpelosi1,ftrubio1,ftocasioc1,fthaley1,ftthomas1,ftfauci1,ftblack,ftwhite,fthisp,ftasian,ftillegal,ftfeminists,ftmetoo,fttransppl,ftsocialists,ftcapitalists,ftbigbusiness,ftlaborunions,ftrepublicanparty,ftdemocraticparty,primaryvote,vote20jb,vote20bs,cvote2020,apppres7,frnpres7,immpres7,econpres7,covidpres7,healthcarepres7,check,dtleader1,dtleader2,dtcares,dtdignif,dthonest,dtauth,dtdiv,dtknow,jbleader1,jbleader2,jbcares,jbdignif,jbhonest,jbauth,jbdiv,jbknow,bsleader1,bsleader2,bscares,bsdignif,bshonest,bsauth,bsdiv,bsknow,econnow,finworry,confecon,taxecon,billtax1,billtax2,richpoor2,guarinc1,guarinc2,lcself,lcd,lcr,freemkt1a,freemkt1b,freemkt2,freemkt3,govsize1a,govsize1b,govsize2,govsize3,regulate1,regulate2,ineqinc1a,strpres1a,strpres1b,mutual,leastgrp,tol_rally,tol_pres,tol_teach,antirelig1,antirelig2,racist1,racist2,immignum,wall7,pathway,return,open,affact,hlthcare1,hlthcare2,covid1,covid2,covid_elect,abort1,abort_imp,abort2,gayadopt,transmilit1a,transmilit1b,harass,freecol1,freecol2,loans1,loans2,diversity7,experts,science,exphelp,excessive,compro1,compro2,pcorrect,selfcensor,childrear1,childrear2,childrear3,childrear4,rural2,rural3,rural4,mis_covid1,conf_covid1,mis_covid2,conf_covid2,impeach1,impeach2,pid1r,pid2r,pidstr,pidlean,pidstr1,pidstr2,pidstr3,rr1,rr2,rr3,rr4,health1,relig1,relig1_11_TEXT,relig2a,relig2b,att1,att2,att3,fundmt1,fundmt2,socmed_1,socmed_2,socmed_3,socmed_4,socmed_5,socmed_6,socmed_7,socmed_8,socmed_9,facebook1,twitter1,impact1,impact2,impact3,impact4,impact5,impact6,impact7,impact8,impact9,ethnic1,ethnic2,ethnic3,latin1,race1a_1,race1a_2,race1a_3,race1a_4,race1a_5,race1b_1,race1b_2,race1b_3,race1b_4,race1b_5,groupid1a_lat,groupid2a_lat,groupid3a_lat,groupid1a_whi,groupid1a_bla,groupid1a_nat,groupid1a_asi,groupid1a_hpi,groupid2a_whi,groupid2a_bla,groupid2a_nat,groupid2a_asi,groupid2a_hpi,groupid3a_whi,groupid3a_bla,groupid3a_nat,groupid3a_asi,groupid3a_hpi,groupid1b_lat,groupid2b_lat,groupid3b_lat,groupid1b_whi,groupid1b_bla,groupid1b_nat,groupid1b_asi,groupid1b_hpi,groupid2b_whi,groupid2b_bla,groupid2b_nat,groupid2b_asi,groupid2b_hpi,groupid3b_whi,groupid3b_bla,groupid3b_nat,groupid3b_asi,groupid3b_hpi,whitejob,femid1a,femid1b,femid2_fem,femid2_anti,femid2_nei,knowtran1,knowtran2_1,knowtran2_2,knowtran2_3,knowtran2_4,knowtran2_5,knowtran2_6,knowgay1,knowgay2_1,knowgay2_2,knowgay2_3,knowgay2_4,knowgay2_5,knowgay2_6,stress1,stress2,stress3,stress4,depress1,depress2,depress3,depress4,depress5,callout1,speech1,forgive1a,forgive1b,callout2,speech2,forgive2a,forgive2b,divmoral,forgive3,moralsup1,duepro3,moralcert3,forgive5,intelsup1,moralcert1,duepro4,moralcert6,forgive4,moralcert2,duepro1,callout3a,callout3b,moralsup2,duepro2,intelsup2,duepro5,moralcert4,forgive6,moralcert5,link_bla,link_his,link_asi,link_whi,link_hpi,link_nat,selfmon1,selfmon2,selfmon3,selfmon4,selfmon5,selfmon6,inc_anes,inc_cps,inc_cpsmod,home_anes,home_cps,viol3_dems,viol3_reps,viol3_both,viol1,viol2a,viol2b,exptravel_ever,exphomesch,expconvert,expholiday,expshark,exparrest,exppubasst,expfight,expavoid,callout_social,callout_person,expknowimmig,expbuyus,expretire,expknowpris,birthyr,sex,educ,state,children,marital1,marital2,citizen1,citizen2,geer1896,admit,mauga,pk_cjus,pk_germ,pk_sen,pk_spend,whites_1,whites_2,whites_3,whites_4,whites_5,whites_6,whites_7,blacks_1,blacks_2,blacks_3,blacks_4,blacks_5,blacks_6,blacks_7,hisp_1,hisp_2,hisp_3,hisp_4,hisp_5,hisp_6,hisp_7,asians_1,asians_2,asians_3,asians_4,asians_5,asians_6,asians_7,survexp1,survexp2,dejavu,serious,form,INSTRUCTION_GROUP,FEEDBACK_GROUP,XGOVT,XFORGIVE,XCONTACT,RAND_INC,surv_comp,USIPAddress,age,home_ownership,income,vote20turnoutjb,particip_count,pk_mauga_correct,pk_germ_correct,pk_cjus_correct,pk_sen_correct,pk_spend_correct,pk_cjus_correctb,pk_index,pidstr1_dr,pidstr1_ind,pidstr2_dr,pidstr2_ind,pidstr3_dr,pidstr3_ind,pid7,pid7str,hispanic,hispanic_white,nonhispanic_white,hispanicr,race1_white,race1_black,race1_namer,race1_asian,race1_hpi,rr_scale,white,black,namer,asian,hpi,mixed,race7,vidx,vidknow
1782,"4/14/2020 23:15","4/14/2020 23:43",1688,"4/14/2020 23:43","R_psAsbluYpVCj2et","Firefox","51","Windows NT 5.1","1596x717",2,1,88,3,4,3,1,1,8,8,1,1,4,1,2,1,5,2,4,2,3,0,1,0,0,1,0,0,0,0,3,2,3,55,50,40,30,25,30,40,40,35,30,40,40,45,45,40,40,20,60,50,40,50,30,20,20,20,25,30,40,40,40,2,1,1,2,3,3,3,2,88,2,5,88,1,2,3,3,2,2,1,88,2,2,1,1,2,2,3,88,1,1,2,2,3,2,3,2,3,3,2,88,3,2,88,1,4,4,4,8,8,66,2,8,8,66,2,88,2,2,88,3,2,88,88,88,88,8,8,8,8,1,2,2,1,2,2,3,2,2,2,2,2,2,2,2,8,1,8,88,2,88,3,2,2,4,4,4,1,4,8,8,1,1,1,1,3,3,2,2,3,1,3,3,2,1,66,2,6,2,2,2,3,1,1,2,2,1,"",8,6,1,2,6,1,2,1,1,0,0,0,0,0,0,0,2,2,2,2,1,2,2,3,4,3,4,"888. NA: Form 2","Italian",999,1,8,8,8,8,8,1,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,2,2,3,6,6,6,6,2,6,6,6,6,1,6,6,6,6,4,8,1,2,6,6,1,1,0,0,0,0,0,2,0,0,0,0,0,0,2,2,3,2,3,1,2,2,3,8,8,88,88,8,8,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,1,6,2,6,6,1,2,4,2,2,2,23,66,66,8,1,3,6,6,2,8,4,1,1,1,1,2,1,2,2,2,1,1,1,2,2,1,1985,2,5,5,2,1,6,8,1,1896,2,"lieutenant governor of american samoa","i don't know","lawyer",6,1,4,4,4,5,5,5,6,6,5,6,6,6,6,6,4,3,4,5,5,5,5,3,1,1,2,1,2,6,1,1,1,1,2,1,1,2,2,0,1,1,1,34,2,23,1,2,1,0,0,1,1,0,.5,2,6,2,6,2,6,2,2,1,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,5,3,0
2230,"4/14/2020 10:57","4/14/2020 11:18",1263,"4/14/2020 11:18","R_3k22RuJwr87q98u","Firefox","74","Macintosh","1440x900",4,4,88,7,5,5,3,7,8,8,2,4,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,1,0,7,7,0,100,89,95,74,82,75,76,0,84,88,0,74,0,0,100,100,73,86,87,88,83,89,97,86,43,12,78,0,87,1,2,2,1,7,7,7,4,88,6,5,88,5,5,5,5,5,1,4,88,2,2,2,2,2,3,2,88,3,2,3,2,2,2,2,5,2,3,6,88,1,1,88,1,1,3,7,8,8,66,6,8,8,66,6,88,2,1,88,7,1,88,88,88,88,8,8,8,8,4,7,1,5,1,6,1,1,1,1,3,4,1,7,1,8,3,8,88,1,88,1,1,3,5,4,3,1,2,8,8,1,1,2,1,6,7,7,2,5,2,5,1,7,2,66,1,6,1,5,3,5,3,3,5,3,10,"",8,6,2,6,6,6,6,1,0,0,0,0,0,0,0,0,2,66,4,3,3,3,3,5,3,5,5,"888. NA: Form 2","Irish American",999,2,8,8,8,8,8,1,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,5,6,6,6,6,5,6,6,6,6,5,6,6,6,6,1,8,3,6,6,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,3,4,3,3,3,3,3,8,8,88,88,8,8,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,4,6,6,3,4,3,4,4,3,66,12,66,8,1,6,4,6,5,8,1,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1970,1,6,36,2,1,6,8,1,1896,6,"catman","scotus justice","head of germany",2,3,3,3,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,0,5,2,0,0,2,1,1,2,2,1,49,2,12,1,0,0,1,.5,0,0,1,.5,1,6,5,6,3,6,7,3,0,0,1,9,1,0,0,0,0,4,1,0,0,0,0,0,1,0,0
2421,"4/14/2020 11:22","4/14/2020 11:50",1685,"4/14/2020 11:50","R_tWKpC81jKXp5aKt","Edge","18.17763","Windows NT 10.0","1097x617",1,1,88,3,4,2,1,1,8,8,1,2,3,5,3,3,2,5,5,5,5,0,0,0,1,0,0,0,1,0,1,1,1,90,10,15,0,0,0,0,0,95,0,0,60,0,10,1,40,25,100,25,50,0,0,0,0,0,40,40,50,80,5,3,1,1,2,1,1,1,1,88,3,5,88,1,1,3,1,1,3,1,88,5,4,4,4,1,3,4,88,5,5,5,5,1,2,5,5,5,5,4,88,2,3,88,7,7,1,7,8,8,66,4,8,8,66,4,88,2,3,88,3,1,88,88,88,88,8,8,8,8,7,1,5,1,5,7,3,5,1,1,3,1,1,1,7,8,7,8,88,3,88,7,5,3,2,5,4,1,3,8,8,2,2,1,2,5,4,5,1,4,2,5,7,1,3,66,6,1,3,4,4,1,5,5,1,2,1,"",8,6,1,2,6,1,1,1,1,0,0,1,0,0,0,0,1,6,4,3,3,4,4,5,3,5,5,"888. NA: Form 2","caucasian",999,2,8,8,8,8,8,1,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,5,6,6,6,6,1,6,6,6,6,1,6,6,6,6,4,8,3,6,6,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,3,2,3,3,2,2,1,8,8,88,88,8,8,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,1,6,6,1,3,5,3,1,3,66,13,66,8,1,4,6,6,5,8,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1959,2,4,42,0,2,2,8,1,1959,6,"senator","supreme court judge","german prime minister",4,4,2,2,2,2,2,2,1,5,4,5,4,6,4,4,3,4,2,4,5,3,4,2,1,1,4,2,2,2,30,30,0,5,2,0,0,2,2,0,2,2,1,60,2,13,1,2,0,1,.5,0,0,1,.5,6,3,6,4,6,4,3,1,0,0,1,9,1,0,0,0,0,16,1,0,0,0,0,0,1,3,1
896,"4/18/2020 9:40","4/18/2020 10:43",3765,"4/18/2020 10:43","R_10DjheIzlCxGvRS","Firefox","68","Windows NT 10.0","1366x768",2,1,88,2,5,3,1,1,8,8,1,1,3,3,5,4,4,4,4,5,5,1,1,1,0,0,0,0,0,0,3,2,2,90,80,80,75,75,75,80,80,70,80,70,90,70,70,80,90,70,80,70,80,90,70,80,70,70,80,80,80,80,80,1,1,1,2,1,2,2,1,88,1,5,88,1,2,1,2,1,1,2,88,1,2,1,2,1,2,2,88,1,1,2,2,1,1,2,1,4,4,2,88,2,2,88,2,7,7,7,8,8,7,66,8,8,6,66,88,2,4,88,1,2,88,88,88,88,8,8,8,8,1,2,2,1,1,2,2,5,1,2,1,2,1,1,2,8,2,8,88,2,88,2,2,1,5,5,4,2,3,8,8,1,2,2,2,2,2,2,1,3,1,3,2,2,1,66,1,6,1,4,3,1,2,1,2,3,6,"",8,6,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,66,2,3,3,3,3,4,3,3,3,"888. NA: Form 2","amarican",999,2,8,8,8,8,8,1,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,1,6,6,6,6,1,6,6,6,6,2,6,6,6,6,2,8,3,6,6,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,3,3,2,3,3,3,3,3,3,8,8,88,88,8,8,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,2,6,6,3,3,3,3,3,2,16,66,66,8,2,3,6,6,3,8,3,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1976,1,8,5,1,1,6,8,1,1896,1,"lieutenant governor of american samoa since 2013","roberts is sworn in as chief justice by","angela dorothea merkel née kasner;",6,2,2,3,4,3,2,3,3,2,2,2,2,2,2,1,2,3,2,1,1,1,2,2,2,2,2,2,2,2,0,0,0,2,2,2,1,1,2,2,1,3,1,43,1,16,1,3,1,0,1,1,0,1,.5,1,6,4,6,3,6,1,3,0,0,1,9,1,0,0,0,0,8,1,0,0,0,0,0,1,3,0
560,"4/18/2020 10:02","4/18/2020 10:40",2272,"4/18/2020 10:40","R_1mDCTs9o1b6VExx","Chrome","81.0.4044.113","Windows NT 6.1","1366x768",2,1,88,2,5,1,2,7,8,8,1,2,5,3,3,3,4,3,4,4,3,1,1,0,1,1,1,0,1,0,3,3,3,70,85,85,75,80,77,65,60,70,65,70,65,70,70,65,65,80,80,75,75,60,70,65,55,60,65,70,65,70,90,2,2,2,1,3,5,5,2,88,3,5,88,3,4,4,4,3,3,4,88,2,2,3,2,3,2,2,88,3,4,4,3,3,3,2,3,2,2,3,88,2,2,88,2,4,4,4,8,8,66,3,8,8,66,5,88,6,1,88,2,2,88,88,88,88,8,8,8,8,4,3,1,2,1,2,3,2,1,2,3,4,2,3,2,8,3,8,88,3,88,3,4,4,4,4,3,1,4,8,8,2,2,2,1,5,4,4,1,2,2,4,3,3,2,66,1,6,2,4,4,2,2,2,2,4,1,"",8,6,1,4,6,2,6,1,1,1,1,1,1,1,0,0,1,2,3,2,2,1,1,4,3,5,5,"888. NA: Form 2","White",999,2,8,8,8,8,8,1,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,2,6,6,6,6,3,6,6,6,6,3,6,6,6,6,2,8,3,6,6,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4,2,2,4,2,2,3,4,4,8,8,88,88,8,8,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,4,6,6,3,2,4,3,3,2,66,21,66,8,1,6,2,6,3,8,3,1,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1981,1,5,32,2,1,6,8,1,1896,6,"lieutenant governor of american samoa since 2013","judge","politician",6,1,2,3,3,3,2,3,1,2,2,2,3,4,2,1,3,1,4,3,4,2,2,3,3,1,4,3,3,2,0,0,0,5,2,2,0,2,1,2,2,3,1,38,2,21,1,6,1,0,.5,1,1,1,.75,2,6,4,6,4,6,7,3,0,0,1,9,1,0,0,0,0,8,1,0,0,0,0,0,1,1,1
28,"4/18/2020 14:16","4/18/2020 14:30",856,"4/18/2020 14:30","R_3PS0jTiF09OcNko","Chrome","78.0.3904.92","CrOS x86_64 12499.51.0","1366x768",1,1,88,4,3,1,3,7,8,8,1,1,3,3,3,3,2,2,2,3,2,0,0,0,0,0,0,0,0,1,0,4,4,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,100,0,3,1,1,2,4,4,4,4,88,4,4,88,3,4,3,2,3,3,4,88,3,2,3,4,3,3,3,88,4,3,2,3,3,4,4,3,1,1,4,88,4,3,88,4,4,4,4,8,8,4,66,8,8,4,66,88,4,4,88,4,3,88,88,88,88,8,8,8,8,4,4,3,3,3,4,4,3,3,3,2,2,3,4,4,8,4,8,88,4,88,4,4,3,3,3,3,2,3,8,8,1,2,2,2,4,4,4,2,3,2,1,4,4,3,66,6,3,3,3,3,3,3,3,3,1,12,"",8,4,2,6,6,6,6,1,0,0,0,0,0,0,0,0,3,66,4,3,3,3,5,5,5,5,5,"888. NA: Form 2","white",999,2,8,8,8,8,8,1,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,3,6,6,6,6,3,6,6,6,6,3,6,6,6,6,3,8,3,6,6,5,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,8,8,88,88,8,8,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,4,6,6,5,5,5,5,5,5,66,66,4,8,2,6,6,3,3,8,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1985,1,2,42,0,5,2,8,1,1990,5,"i dont know","senator","not sure",4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,7,7,7,7,7,6,6,7,7,5,7,7,7,7,3,4,0,4,2,2,1,1,1,1,3,3,1,34,1,4,1,0,0,0,0,0,0,0,0,6,3,6,3,6,3,4,0,0,0,1,9,1,0,0,0,0,8,1,0,0,0,0,0,1,0,0
461,"4/15/2020 12:50","4/15/2020 13:23",2024,"4/15/2020 13:23","R_vPmAaoBF4abNoYx","Firefox","75","Windows NT 6.1","1366x768",2,1,88,2,3,3,1,1,8,8,1,2,2,2,3,2,2,3,1,3,2,0,0,0,1,0,1,0,1,0,1,1,1,0,80,70,80,90,60,60,60,0,60,60,999,90,999,25,60,90,80,90,90,90,100,100,90,90,50,30,80,0,80,2,2,2,1,7,4,7,4,88,7,5,88,5,5,5,5,5,1,5,88,3,3,3,3,3,5,3,88,2,2,2,2,2,5,2,4,2,2,4,88,1,1,88,4,1,3,7,8,8,6,66,8,8,6,66,88,2,2,88,5,2,88,88,88,88,8,8,8,8,3,7,2,5,3,2,1,2,4,3,2,4,4,7,2,8,2,8,88,2,88,2,1,4,4,3,3,1,3,8,8,1,1,2,1,5,4,4,2,3,2,5,1,7,2,66,1,6,3,2,2,5,1,1,4,3,12,"",8,1,2,6,6,6,6,1,0,1,0,1,0,0,0,0,4,66,5,4,4,4,3,5,4,5,5,"888. NA: Form 2","Irish American",999,2,8,8,8,8,8,1,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,4,6,6,6,6,5,6,6,6,6,5,6,6,6,6,1,8,1,1,6,6,1,0,1,0,0,0,0,1,0,1,0,0,0,0,4,3,3,5,4,3,3,4,3,8,8,88,88,8,8,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,3,6,6,2,5,5,4,2,3,3,66,66,8,2,6,5,6,1,8,1,1,2,2,1,2,1,1,2,1,2,1,1,2,2,2,1950,1,7,14,0,3,2,8,1,1950,6,"un ambassador","supreme court justice","leader of germany",6,2,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,25,25,0,5,2,2,0,1,2,2,1,3,1,69,1,3,1,3,0,1,.5,1,0,1,.75,3,6,2,6,2,6,7,3,0,0,1,9,1,0,0,0,0,1,1,0,0,0,0,0,1,3,1
1152,"4/10/2020 18:10","4/10/2020 18:45",2096,"4/10/2020 18:45","R_2TTXxsNEnv7OLTe","Chrome","75.0.3770.143","Android 7.0","360x640",2,1,88,5,3,4,1,3,8,8,1,2,1,4,3,4,1,5,1,4,5,0,0,0,0,1,0,0,0,0,4,7,1,0,82,46,47,42,42,68,50,21,57,54,76,67,54,43,33,90,85,90,90,90,90,90,90,50,50,26,43,50,50,2,3,3,5,7,7,7,7,88,7,5,88,5,5,5,5,5,5,5,88,4,4,4,4,4,4,4,88,4,4,4,4,4,4,4,5,5,4,3,88,3,2,88,2,1,3,5,8,8,3,66,8,8,3,66,88,3,2,88,5,1,88,88,88,88,8,8,8,8,1,7,1,5,1,2,1,5,1,2,2,4,1,7,1,8,1,8,88,1,88,1,2,3,4,3,3,1,3,8,8,1,1,2,1,6,5,5,2,3,2,4,1,7,3,66,6,2,4,2,2,2,2,3,4,1,10,"",8,6,2,6,6,6,6,0,0,0,1,1,0,0,0,0,66,66,5,2,3,4,4,5,1,5,5,"888. NA: Form 2","English",999,2,8,8,8,8,8,1,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,2,6,6,6,6,3,6,6,6,6,4,6,6,6,6,1,8,1,4,6,6,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,4,5,1,1,5,1,3,1,8,8,88,88,8,8,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,2,6,6,3,2,4,5,4,3,7,66,66,8,2,6,2,6,5,8,1,2,2,1,1,2,1,1,1,1,2,1,1,2,2,2,1991,2,3,43,4,4,1,8,1,1998,5,"no idea","nope","pass",2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,1,0,5,2,1,1,1,1,2,1,1,1,28,1,7,1,1,0,0,0,0,0,0,0,6,4,6,2,6,2,5,1,0,0,1,9,1,0,0,0,0,7,1,0,0,0,0,0,1,0,0
691,"4/15/2020 20:54","4/15/2020 21:38",2645,"4/15/2020 21:38","R_2ZDEnzsPfm6ut6J","Safari","13.0.5","Macintosh","1280x800",3,1,88,1,5,1,3,7,8,8,1,2,2,3,2,3,3,4,3,2,2,0,0,0,0,0,0,0,0,1,3,4,4,0,95,95,85,96,90,92,94,10,85,87,55,75,85,70,100,89,90,87,90,80,79,80,79,89,87,79,89,59,95,1,2,2,1,7,7,7,6,88,7,5,88,5,5,5,5,5,5,5,88,1,1,1,1,1,1,1,88,1,1,1,1,1,1,1,4,1,3,4,88,3,2,88,4,4,3,5,8,8,4,66,8,8,5,66,88,4,4,88,4,1,88,88,88,88,8,8,8,8,4,6,2,3,1,2,4,1,5,2,2,2,5,4,4,8,4,8,88,4,88,4,1,4,3,5,3,1,3,8,8,1,1,2,2,1,4,4,2,3,2,5,2,4,2,66,2,6,4,3,3,3,2,3,3,3,1,"",8,6,1,2,6,2,6,1,0,0,0,0,0,0,1,0,3,66,4,4,3,5,3,5,5,5,5,"888. NA: Form 2","American",999,2,8,8,8,8,8,1,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,3,6,6,6,6,2,6,6,6,6,1,6,6,6,6,1,8,3,6,6,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,5,1,2,4,5,2,3,4,4,8,8,88,88,8,8,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,3,6,6,2,5,5,5,1,5,17,66,66,8,1,6,3,6,3,8,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1953,2,3,9,0,3,2,8,1,2009,6,"na","na","na",4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,100,30,0,4,2,2,0,1,2,0,1,3,1,66,2,17,1,0,0,0,0,0,0,0,0,4,6,3,6,3,6,6,2,0,0,1,9,1,0,0,0,0,7,1,0,0,0,0,0,1,0,0
2229,"4/14/2020 10:46","4/14/2020 11:07",1256,"4/14/2020 11:07","R_1BURyOMfIvq2C7E","Chrome","80.0.3987.162","CrOS x86_64 12739.111.0","1366x768",1,1,88,1,1,2,1,1,8,8,1,1,3,4,4,4,3,4,1,4,4,0,0,0,0,0,0,0,0,1,3,2,3,0,30,0,5,10,0,0,0,0,10,0,20,0,0,5,20,50,100,30,40,0,0,0,10,0,0,5,5,0,20,1,4,4,1,7,5,3,2,88,4,5,88,2,5,5,5,1,2,3,88,5,5,5,5,5,5,5,88,5,5,5,5,5,5,5,5,5,5,1,88,1,1,88,1,2,4,4,8,8,66,4,8,8,66,2,88,2,3,88,3,2,88,88,88,88,8,8,8,8,3,2,4,1,2,2,2,4,2,1,2,2,2,2,4,8,2,8,88,1,88,2,3,2,1,5,5,1,3,8,8,1,2,2,1,1,2,2,2,3,2,3,2,3,2,66,1,6,2,4,3,2,2,4,3,3,2,"",8,6,1,1,1,2,6,1,1,0,0,1,0,0,0,0,1,3,3,3,2,1,3,2,3,2,3,"888. NA: Form 2","italian",999,2,8,8,8,8,8,1,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,5,6,6,6,6,2,6,6,6,6,1,6,6,6,6,4,8,3,6,6,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,3,8,8,88,88,8,8,88,88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,2,6,6,2,3,3,2,3,1,66,18,66,8,2,6,5,6,3,8,2,1,2,2,1,1,2,2,1,1,2,2,2,1,1,2,1959,2,4,32,0,2,2,8,1,1964,5,"na","na","na",4,4,5,5,4,5,6,5,6,5,5,6,7,6,6,5,5,6,6,6,6,6,5,4,6,1,6,7,4,6,0,0,0,5,2,0,1,2,2,1,2,2,1,60,1,18,0,0,0,0,0,0,0,0,0,2,6,4,6,3,6,7,3,0,0,1,9,1,0,0,0,0,9,1,0,0,0,0,0,1,3,0
